Rodando com 1 processo(s), alpha=1, beta=2, evap=0.1
Rodando com 1 processo(s), alpha=1, beta=2, evap=0.35
Rodando com 1 processo(s), alpha=1, beta=2, evap=0.6
Rodando com 1 processo(s), alpha=1, beta=3.5, evap=0.1
Rodando com 1 processo(s), alpha=1, beta=3.5, evap=0.35
Rodando com 1 processo(s), alpha=1, beta=3.5, evap=0.6
Rodando com 1 processo(s), alpha=1, beta=5, evap=0.1
Rodando com 1 processo(s), alpha=1, beta=5, evap=0.35
Rodando com 1 processo(s), alpha=1, beta=5, evap=0.6
Rodando com 1 processo(s), alpha=1.5, beta=2, evap=0.1
Rodando com 1 processo(s), alpha=1.5, beta=2, evap=0.35
Rodando com 1 processo(s), alpha=1.5, beta=2, evap=0.6
Rodando com 1 processo(s), alpha=1.5, beta=3.5, evap=0.1
Rodando com 1 processo(s), alpha=1.5, beta=3.5, evap=0.35
Rodando com 1 processo(s), alpha=1.5, beta=3.5, evap=0.6
Rodando com 1 processo(s), alpha=1.5, beta=5, evap=0.1
Rodando com 1 processo(s), alpha=1.5, beta=5, evap=0.35
Rodando com 1 processo(s), alpha=1.5, beta=5, evap=0.6
Rodando com 1 processo(s), alpha=2, beta=2, evap=0.1
Rodando com 1 processo(s), alpha=2, beta=2, evap=0.35
Rodando com 1 processo(s), alpha=2, beta=2, evap=0.6
Rodando com 1 processo(s), alpha=2, beta=3.5, evap=0.1
Rodando com 1 processo(s), alpha=2, beta=3.5, evap=0.35
Rodando com 1 processo(s), alpha=2, beta=3.5, evap=0.6
Rodando com 1 processo(s), alpha=2, beta=5, evap=0.1
Rodando com 1 processo(s), alpha=2, beta=5, evap=0.35
Rodando com 1 processo(s), alpha=2, beta=5, evap=0.6
Rodando com 2 processo(s), alpha=1, beta=2, evap=0.1
Rodando com 2 processo(s), alpha=1, beta=2, evap=0.35
Rodando com 2 processo(s), alpha=1, beta=2, evap=0.6
Rodando com 2 processo(s), alpha=1, beta=3.5, evap=0.1
Rodando com 2 processo(s), alpha=1, beta=3.5, evap=0.35
Rodando com 2 processo(s), alpha=1, beta=3.5, evap=0.6
Rodando com 2 processo(s), alpha=1, beta=5, evap=0.1
Rodando com 2 processo(s), alpha=1, beta=5, evap=0.35
Rodando com 2 processo(s), alpha=1, beta=5, evap=0.6
Rodando com 2 processo(s), alpha=1.5, beta=2, evap=0.1
Rodando com 2 processo(s), alpha=1.5, beta=2, evap=0.35
Rodando com 2 processo(s), alpha=1.5, beta=2, evap=0.6
Rodando com 2 processo(s), alpha=1.5, beta=3.5, evap=0.1
Rodando com 2 processo(s), alpha=1.5, beta=3.5, evap=0.35
Rodando com 2 processo(s), alpha=1.5, beta=3.5, evap=0.6
Rodando com 2 processo(s), alpha=1.5, beta=5, evap=0.1
Rodando com 2 processo(s), alpha=1.5, beta=5, evap=0.35
Rodando com 2 processo(s), alpha=1.5, beta=5, evap=0.6
Rodando com 2 processo(s), alpha=2, beta=2, evap=0.1
Rodando com 2 processo(s), alpha=2, beta=2, evap=0.35
Rodando com 2 processo(s), alpha=2, beta=2, evap=0.6
Rodando com 2 processo(s), alpha=2, beta=3.5, evap=0.1
Rodando com 2 processo(s), alpha=2, beta=3.5, evap=0.35
Rodando com 2 processo(s), alpha=2, beta=3.5, evap=0.6
Rodando com 2 processo(s), alpha=2, beta=5, evap=0.1
Rodando com 2 processo(s), alpha=2, beta=5, evap=0.35
Rodando com 2 processo(s), alpha=2, beta=5, evap=0.6
Rodando com 3 processo(s), alpha=1, beta=2, evap=0.1
Rodando com 3 processo(s), alpha=1, beta=2, evap=0.35
Rodando com 3 processo(s), alpha=1, beta=2, evap=0.6
Rodando com 3 processo(s), alpha=1, beta=3.5, evap=0.1
Rodando com 3 processo(s), alpha=1, beta=3.5, evap=0.35
Rodando com 3 processo(s), alpha=1, beta=3.5, evap=0.6
Rodando com 3 processo(s), alpha=1, beta=5, evap=0.1
Rodando com 3 processo(s), alpha=1, beta=5, evap=0.35
Rodando com 3 processo(s), alpha=1, beta=5, evap=0.6
Rodando com 3 processo(s), alpha=1.5, beta=2, evap=0.1
Rodando com 3 processo(s), alpha=1.5, beta=2, evap=0.35
Rodando com 3 processo(s), alpha=1.5, beta=2, evap=0.6
Rodando com 3 processo(s), alpha=1.5, beta=3.5, evap=0.1
Rodando com 3 processo(s), alpha=1.5, beta=3.5, evap=0.35
Rodando com 3 processo(s), alpha=1.5, beta=3.5, evap=0.6
Rodando com 3 processo(s), alpha=1.5, beta=5, evap=0.1
Rodando com 3 processo(s), alpha=1.5, beta=5, evap=0.35
Rodando com 3 processo(s), alpha=1.5, beta=5, evap=0.6
Rodando com 3 processo(s), alpha=2, beta=2, evap=0.1
Rodando com 3 processo(s), alpha=2, beta=2, evap=0.35
Rodando com 3 processo(s), alpha=2, beta=2, evap=0.6
Rodando com 3 processo(s), alpha=2, beta=3.5, evap=0.1
Rodando com 3 processo(s), alpha=2, beta=3.5, evap=0.35
Rodando com 3 processo(s), alpha=2, beta=3.5, evap=0.6
Rodando com 3 processo(s), alpha=2, beta=5, evap=0.1
Rodando com 3 processo(s), alpha=2, beta=5, evap=0.35
Rodando com 3 processo(s), alpha=2, beta=5, evap=0.6
Rodando com 4 processo(s), alpha=1, beta=2, evap=0.1
Rodando com 4 processo(s), alpha=1, beta=2, evap=0.35
Rodando com 4 processo(s), alpha=1, beta=2, evap=0.6
Rodando com 4 processo(s), alpha=1, beta=3.5, evap=0.1
Rodando com 4 processo(s), alpha=1, beta=3.5, evap=0.35
Rodando com 4 processo(s), alpha=1, beta=3.5, evap=0.6
Rodando com 4 processo(s), alpha=1, beta=5, evap=0.1
Rodando com 4 processo(s), alpha=1, beta=5, evap=0.35
Rodando com 4 processo(s), alpha=1, beta=5, evap=0.6
Rodando com 4 processo(s), alpha=1.5, beta=2, evap=0.1
Rodando com 4 processo(s), alpha=1.5, beta=2, evap=0.35
Rodando com 4 processo(s), alpha=1.5, beta=2, evap=0.6
Rodando com 4 processo(s), alpha=1.5, beta=3.5, evap=0.1
Rodando com 4 processo(s), alpha=1.5, beta=3.5, evap=0.35
Rodando com 4 processo(s), alpha=1.5, beta=3.5, evap=0.6
Rodando com 4 processo(s), alpha=1.5, beta=5, evap=0.1
Rodando com 4 processo(s), alpha=1.5, beta=5, evap=0.35
Rodando com 4 processo(s), alpha=1.5, beta=5, evap=0.6
Rodando com 4 processo(s), alpha=2, beta=2, evap=0.1
Rodando com 4 processo(s), alpha=2, beta=2, evap=0.35
Rodando com 4 processo(s), alpha=2, beta=2, evap=0.6
Rodando com 4 processo(s), alpha=2, beta=3.5, evap=0.1
Rodando com 4 processo(s), alpha=2, beta=3.5, evap=0.35
Rodando com 4 processo(s), alpha=2, beta=3.5, evap=0.6
Rodando com 4 processo(s), alpha=2, beta=5, evap=0.1
Rodando com 4 processo(s), alpha=2, beta=5, evap=0.35
Rodando com 4 processo(s), alpha=2, beta=5, evap=0.6
Rodando com 5 processo(s), alpha=1, beta=2, evap=0.1
Rodando com 5 processo(s), alpha=1, beta=2, evap=0.35
Rodando com 5 processo(s), alpha=1, beta=2, evap=0.6
Rodando com 5 processo(s), alpha=1, beta=3.5, evap=0.1
Rodando com 5 processo(s), alpha=1, beta=3.5, evap=0.35
Rodando com 5 processo(s), alpha=1, beta=3.5, evap=0.6
Rodando com 5 processo(s), alpha=1, beta=5, evap=0.1
Rodando com 5 processo(s), alpha=1, beta=5, evap=0.35
Rodando com 5 processo(s), alpha=1, beta=5, evap=0.6
Rodando com 5 processo(s), alpha=1.5, beta=2, evap=0.1
Rodando com 5 processo(s), alpha=1.5, beta=2, evap=0.35
Rodando com 5 processo(s), alpha=1.5, beta=2, evap=0.6
Rodando com 5 processo(s), alpha=1.5, beta=3.5, evap=0.1
Rodando com 5 processo(s), alpha=1.5, beta=3.5, evap=0.35
Rodando com 5 processo(s), alpha=1.5, beta=3.5, evap=0.6
Rodando com 5 processo(s), alpha=1.5, beta=5, evap=0.1
Rodando com 5 processo(s), alpha=1.5, beta=5, evap=0.35
Rodando com 5 processo(s), alpha=1.5, beta=5, evap=0.6
Rodando com 5 processo(s), alpha=2, beta=2, evap=0.1
Rodando com 5 processo(s), alpha=2, beta=2, evap=0.35
Rodando com 5 processo(s), alpha=2, beta=2, evap=0.6
Rodando com 5 processo(s), alpha=2, beta=3.5, evap=0.1
Rodando com 5 processo(s), alpha=2, beta=3.5, evap=0.35
Rodando com 5 processo(s), alpha=2, beta=3.5, evap=0.6
Rodando com 5 processo(s), alpha=2, beta=5, evap=0.1
Rodando com 5 processo(s), alpha=2, beta=5, evap=0.35
Rodando com 5 processo(s), alpha=2, beta=5, evap=0.6
Rodando com 6 processo(s), alpha=1, beta=2, evap=0.1
Rodando com 6 processo(s), alpha=1, beta=2, evap=0.35
Rodando com 6 processo(s), alpha=1, beta=2, evap=0.6
Rodando com 6 processo(s), alpha=1, beta=3.5, evap=0.1
Rodando com 6 processo(s), alpha=1, beta=3.5, evap=0.35
Rodando com 6 processo(s), alpha=1, beta=3.5, evap=0.6
Rodando com 6 processo(s), alpha=1, beta=5, evap=0.1
Rodando com 6 processo(s), alpha=1, beta=5, evap=0.35
Rodando com 6 processo(s), alpha=1, beta=5, evap=0.6
Rodando com 6 processo(s), alpha=1.5, beta=2, evap=0.1
Rodando com 6 processo(s), alpha=1.5, beta=2, evap=0.35
Rodando com 6 processo(s), alpha=1.5, beta=2, evap=0.6
Rodando com 6 processo(s), alpha=1.5, beta=3.5, evap=0.1
Rodando com 6 processo(s), alpha=1.5, beta=3.5, evap=0.35
Rodando com 6 processo(s), alpha=1.5, beta=3.5, evap=0.6
Rodando com 6 processo(s), alpha=1.5, beta=5, evap=0.1
Rodando com 6 processo(s), alpha=1.5, beta=5, evap=0.35
Rodando com 6 processo(s), alpha=1.5, beta=5, evap=0.6
Rodando com 6 processo(s), alpha=2, beta=2, evap=0.1
Rodando com 6 processo(s), alpha=2, beta=2, evap=0.35
Rodando com 6 processo(s), alpha=2, beta=2, evap=0.6
Rodando com 6 processo(s), alpha=2, beta=3.5, evap=0.1
Rodando com 6 processo(s), alpha=2, beta=3.5, evap=0.35
Rodando com 6 processo(s), alpha=2, beta=3.5, evap=0.6
Rodando com 6 processo(s), alpha=2, beta=5, evap=0.1
Rodando com 6 processo(s), alpha=2, beta=5, evap=0.35
Rodando com 6 processo(s), alpha=2, beta=5, evap=0.6
Rodando com 7 processo(s), alpha=1, beta=2, evap=0.1
Rodando com 7 processo(s), alpha=1, beta=2, evap=0.35
Rodando com 7 processo(s), alpha=1, beta=2, evap=0.6
Rodando com 7 processo(s), alpha=1, beta=3.5, evap=0.1
Rodando com 7 processo(s), alpha=1, beta=3.5, evap=0.35
Rodando com 7 processo(s), alpha=1, beta=3.5, evap=0.6
Rodando com 7 processo(s), alpha=1, beta=5, evap=0.1
Rodando com 7 processo(s), alpha=1, beta=5, evap=0.35
Rodando com 7 processo(s), alpha=1, beta=5, evap=0.6
Rodando com 7 processo(s), alpha=1.5, beta=2, evap=0.1
Rodando com 7 processo(s), alpha=1.5, beta=2, evap=0.35
Rodando com 7 processo(s), alpha=1.5, beta=2, evap=0.6
Rodando com 7 processo(s), alpha=1.5, beta=3.5, evap=0.1
Rodando com 7 processo(s), alpha=1.5, beta=3.5, evap=0.35
Rodando com 7 processo(s), alpha=1.5, beta=3.5, evap=0.6
Rodando com 7 processo(s), alpha=1.5, beta=5, evap=0.1
Rodando com 7 processo(s), alpha=1.5, beta=5, evap=0.35
